Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Order_delay,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Sales_Per_Employee,Required_Employees,Employee_Gap,Total_Cost,profit,Inventory_Gap,Optimized_Stock,Need_Emp_Shifting,Cost_Per_Sale,Revenue
WH298,New York,4418,3948,6,4,10,6,74065,S355,Automotive,6836,4.43,8.3,4,43351,11037,7760,112,7,83,82.36144578,60,-23,18797,80341.13904,-470,4418,0,10.83455237,99138.13904
WH414,Chicago,4473,2730,5,3,8,21,32188,S557,Groceries,3435,4.71,1.4,2.1,17183,2226,9199,87,14,17,202.0588235,30,13,11425,38390.60965,-1743,4473,0,9.370596798,49815.60965
WH042,Chicago,2279,1930,4,3,7,24,72812,S569,Automotive,4016,3.27,3.6,1,46299,6101,12458,163,30,51,78.74509804,35,-16,18559,39682.48133,-349,2279,0,18.13047809,58241.48133
WH322,Chicago,1502,2782,5,4,9,11,39104,S134,Furniture,2605.40625,3.86,7.8,3.6,44913,12304,1408,81,15,79,15.75949367,23,-56,13712,24072.5417,1280,2782,12,15.00879182,37784.5417
WH092,Miami,1330,1433,3,2,5,15,57086,S138,Furniture,2560.367188,4.36,0.9,2.7,41005,7917,13814,255,13,95,25.75789474,23,-72,21731,15400.36896,103,1433,1,22.29602077,37131.36896
WH099,Miami,4998,1200,4,3,7,16,64791,S411,Furniture,6075,0.76,5.7,3.9,35815,2792,11106,256,47,78,77.88461538,54,-24,13898,74203.8424,-3798,4998,0,10.66518519,88101.8424
WH153,Atlanta,3630,956,2,4,6,7,45897,S517,Apparel,3023,2.74,5.3,2.6,16306,10185,14293,96,41,25,120.92,27,2,24478,19362.63697,-2674,3630,0,15.18260007,43840.63697
WH492,Dallas,4910,2192,5,4,9,18,80267,S508,Groceries,1004,4.83,7.4,4.7,23954,13725,8905,66,5,48,20.91666667,9,-39,22630,-8069.629667,-2718,4910,0,79.94721116,14560.37033
WH196,San Francisco,4812,751,4,2,6,21,33970,S813,Electronics,2245,3,5.9,3,10905,18866,7405,108,10,75,29.93333333,20,-55,26271,6286.800197,-4061,4812,0,15.13140312,32557.8002
WH414,Dallas,2358,2655,6,1,7,23,45715,S995,Groceries,1753.101563,2.66,3,1.9,26390,7744,5653,140,21,76,18.59210526,15,-61,13397,12027.11154,297,2655,3,26.07664095,25424.11154
WH487,Miami,3885,2529,3,4,7,19,58271,S695,Apparel,3921,1.09,9.1,4.2,30250,12697,6016,204,37,44,89.11363636,35,-9,18713,38150.75705,-1356,3885,0,14.86125988,56863.75705
WH106,New York,1401,2940,5,4,9,22,36265,S456,Apparel,3409.140625,1.29,3.1,4.7,18053,1284,773,205,17,78,23.35897436,30,-48,2057,47383.58767,1539,2940,14,10.6375782,49440.58767
WH062,Chicago,1701,2243,3,1,4,25,31210,S450,Furniture,2047.835938,4.77,1.4,4.8,29687,12883,9577,30,21,42,35.26190476,18,-24,22460,7238.455808,542,2243,5,15.24047871,29698.45581
WH466,Atlanta,4416,2857,2,3,5,6,45999,S310,Groceries,5491,3.55,3.7,2.9,21769,16669,2443,87,10,11,499.1818182,48,37,19112,60520.46364,-1559,4416,0,8.37716263,79632.46364
WH478,Houston,789,1746,4,4,8,23,79365,S453,Automotive,4191.304688,2.74,9.3,3.8,43927,5602,12965,254,9,65,48.78461538,37,-28,18567,42216.81318,957,1746,9,18.93563125,60783.81318
WH195,Los Angeles,2482,1780,2,2,4,12,74035,S188,Automotive,3562,0.71,7.1,3.1,47194,1901,12651,222,13,95,37.49473684,31,-64,14552,37105.40949,-702,2482,0,20.78467153,51657.40949
